year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,reported_daily_max_mm,quality_flag
1979,92,145,155,270,72,180,248,69,145,249,357,90,2072,69,document_transcription
1980,56,146,286,108,133,31,73,109,91,71,188,118,1410,53,document_transcription
1981,105,149,77,125,259,50,37,28,112,133,103,103,1281,46,document_transcription
1982,54,123,135,140,242,64,35,74,118,165,147,46,1343,52,document_transcription
1983,85,72,148,80,134,46,68,56,193,421,93,246,1642,44,document_transcription
1984,293,182,221,114,167,106,97,31,176,62,183,157,1789,50,document_transcription
1985,163,94,236,151,240,7,35,64,140,146,250,254,1780,67,document_transcription
1986,171,111,218,181,111,66,94,31,195,219,113,64,1574,42,document_transcription
1987,102,8,210,175,113,90,112,186,130,350,186,221,1883,51,document_transcription
1988,183,164,110,58,79,38,79,244,206,63,235,108,1567,63,document_transcription
1989,112,47,211,167,68,32,112,72,184,276,170,103,1554,47,document_transcription
1990,127,67,180,193,207,48,178,17,150,206,207,159,1739,58,document_transcription
1991,85,71,236,160,194,44,63,18,72,254,134,139,1470,74,document_transcription
1992,140,99,224,216,247,32,94,25,72,189,196,176,1710,65,document_transcription
1993,60,58,89,128,118,91,76,75,119,112,204,79,1209,37,document_transcription
1994,58,151,109,122,85,34,16,48,76,108,174,76,1057,42,document_transcription
1995,67,75,88,89,139,78,73,72,124,90,139,29,1063,31,document_transcription
1996,69,174,77,105,61,98,60,92,16,179,172,251,1354,39,document_transcription
1997,63,126,36,67,60,51,40,52,61,161,369,94,1180,43,document_transcription
1998,171,138,107,318,105,254,101,129,262,222,479,147,2433,75,document_transcription
2000,186,57,169,121,54,84,74,119,143,84,299,192,1582,80,missing_1999_in_source_table
2001,357,193,85,234,88,110,36,54,123,204,0,314,1798,91,zero_value_requires_review
2002,121,99,95,215,95,0,12,6,227,350,261,211,1692,74,zero_value_requires_review
2003,103,155,73,151,144,151,168,215,174,196,359,347,2236,65,document_transcription
2004,202,80,195,205,37,160,20,28,47,24,191,100,1289,70,document_transcription
2005,52,75,262,91,194,45,5,154,43,163,231,228,1543,85,document_transcription
2006,165,334,125,315,159,153,55,139,175,325,257,73,2275,85,document_transcription
2007,141,44,0,242,134,43,83,69,206,410,259,203,1834,70,zero_value_requires_review
2008,181,201,480,298,120,165,284,155,194,404,280,188,2950,61,document_transcription
